address,roomtype,availability,description,female,male,rent,locality,image,promoted
1925 Commonwealth Avenue,2 Rooms,Available now,,,,"$1,500.00",,https://static.cirtru.com/cirtru/images/listings/c6086c92a78dc6dcfa1f15081af70e94-icon.jpg|https://static.cirtru.com/cirtru/images/listings/c6086c92a78dc6dcfa1f15081af70e94-thumb.jpg,
3144 Washington Street,2 Rooms,Available now,,,,"$1,000.00","Egleston Square
                                             ·",https://dbjpekgzfghzs.cloudfront.net/7cfceb25b6868cc4dfc9447be9c6ee9006cbd523-sm.jpg|https://dbjpekgzfghzs.cloudfront.net/7cfceb25b6868cc4dfc9447be9c6ee9006cbd523-sm.jpg,
3144 Washington Street,3 Rooms,Available now,,,,"$1,100.00","Egleston Square
                                             ·",https://dbjpekgzfghzs.cloudfront.net/25a5ecd8960996cae72dbfcabd936367a60bb005-sm.jpg|https://dbjpekgzfghzs.cloudfront.net/25a5ecd8960996cae72dbfcabd936367a60bb005-sm.jpg,
7 Porter Street,1 Room,Available January 01,,,,$885.00,"Central Square
                                             ·",https://dbjpekgzfghzs.cloudfront.net/ff9b096798b903c8cf955fc152460849742613dd-sm.jpg|https://dbjpekgzfghzs.cloudfront.net/ff9b096798b903c8cf955fc152460849742613dd-sm.jpg,
9 Germania Street,1 Room,Available January 1,,,,"$1,025.00","Egleston Square
                                             ·",https://dbjpekgzfghzs.cloudfront.net/b50ad110669ed8a04f1de5a7fe109d5c3c087a8a-sm.jpg|,
848 Beacon Street,1 Room,Available now,,,,$800.00,"Fenway
                                             ·",https://static.cirtru.com/cirtru/images/listings/83e03a4d45d23160751df4883c9122dc-icon.jpg|,
31 Brainard Street,2 Rooms,Available December 15,,,,$850.00,,,
665 Washington Street,1 Room,Available now,,,,"$2,500.00","Theatre District
                                             ·",|,
360 Newbury Street,1 Room,Available now,,,,$815.00,"Newbury Street
                                             ·",|,
,2 Rooms,Available now,,,,$810.00,,,
35 Park Drive,2 Rooms,Available now,,,,$850.00,"Fenway
                                             ·",|,
90 Gardner Street,1 Room,Available now,,,,$525.00,"Packard's Corner
                                             ·",,
81 Essex Street,1 Room,Available June 1 ,,,,"$1,600.00","Chinatown
                                             ·",,
101 Broad Street,1 Room,Available now,,,,"$1,500.00","Financial District
                                             ·",|,
775 Tremont Street,1 Room,Available now,,,,"$1,500.00","Claremont
                                             ·",|,
77 Exeter Street,1 Room,Available now,,,,"$5,300.00","Copley Square
                                             ·",,
Seaverns Avenue,1 Room,Available now,,,,"$1,150.00","Jamaica Plain
                                             ·",|,
81 Florence Street,1 Room,Available now,,,,$884.00,"Roslindale
                                             ·",|,
12 Glenville Avenue,2 Rooms,Available now,,,,"$1,000.00","Allston
                                             ·",|,
11 Newcastle Road,2 Rooms,Available now,,,,"$1,000.00","Oak Square
                                             ·",|,
1 Nashua Street,1 Room,Available now,,,,"$2,200.00","North Station
                                             ·",|,
44 Brimmer Street,1 Room,Available now,,,,"$1,300.00","Beacon Hill
                                             ·",|,
,1 Room,Available now,,,,"$1,200.00",,,
1165-1177 Commonwealth Avenue,1 Room,Available now,,,,$850.00,"Packard's Corner
                                             ·",|,
,1 Room,Available now,,,,$750.00,,,
10 Emerson Place,1 Room,Available now,,,,"$1,800.00","West End
                                             ·",https://static.cirtru.com/cirtru/images/listings/84bd5ed5209be1e0c0b183cd0ccc50e5-icon.jpg|https://static.cirtru.com/cirtru/images/listings/84bd5ed5209be1e0c0b183cd0ccc50e5-thumb.jpg,
,1 Room,Available now,,,,$850.00,,https://static.cirtru.com/cirtru/images/listings/da616e8b6595b3b646e0bff9cfc2b30a-icon.jpg|https://static.cirtru.com/cirtru/images/listings/da616e8b6595b3b646e0bff9cfc2b30a-thumb.jpg,
8 Sackville Street,1 Room,Available now,,,,"$1,150.00","The Neck
                                             ·",https://static.cirtru.com/cirtru/images/listings/401f98091e047e33f66013b2e44dba79-icon.jpg|https://static.cirtru.com/cirtru/images/listings/401f98091e047e33f66013b2e44dba79-thumb.jpg,
,2 Rooms,Available now,,,,"$1,100.00",,https://static.cirtru.com/cirtru/images/listings/d62cc5935edbc154932d622e20e3ddd7-icon.jpg|,
41 Egremont Road,2 Rooms,Available now,,,,$700.00,"Brighton
                                             ·",,
20 Lee Hill Road,1 Room,Available now,,,,"$1,200.00","Roslindale
                                             ·",|,
224-226 Hanover Street,1 Room,Available now,,,,"$1,300.00","North End
                                             ·",|,
,2 Rooms,Available now,,,,$500.00,,|,
398 Cambridge Street,1 Room,Available now,,,,"$2,000.00","Allston Village
                                             ·",|,
386a Riverway,2 Rooms,Available now,,,,"$1,100.00","Brigham Circle
                                             ·",|,
66-68 Hunnewell Avenue,1 Room,Available now,,,,"$1,200.00","Brighton
                                             ·",|,
28 Glenville Avenue,3 Rooms,Available now,,,,$950.00,"Allston
                                             ·",|,
70 Bremen Street,1 Room,Available now,,,,"$1,250.00","Maverick Square
                                             ·",|,
48 Hano Street,2 Rooms,Available now,,,,"$1,200.00","Allston
                                             ·",|,
44 Easton Street,1 Room,Available now,,,,$850.00,"Lower Allston
                                             ·",,
566 Commonwealth Avenue,1 Room,Available now,,,,"$1,800.00","Kenmore
                                             ·",,
41 Ashford Street,1 Room,Available now,,,,"$1,100.00","Packard's Corner
                                             ·",|,
16-22 Lawrence Street,2 Rooms,Available now,,,,"$1,100.00","Brighton
                                             ·",,
1653-1661 Commonwealth Avenue,3 Rooms,Available now,,,,$750.00,"Brighton
                                             ·",|,
40 Evergreen Street,1 Room,Available now,,,,$900.00,"Jamaica Plain
                                             ·",|,
45-47 Undine Road,1 Room,Available now,,,,$775.00,"Brighton
                                             ·",|,
21 Sutherland Road,1 Room,Available now,,,,$925.00,"Cleveland Circle
                                             ·",|,
52 Cummings Road,1 Room,Available now,,,,$700.00,"Brighton
                                             ·",|,
1328 Commonwealth Avenue,1 Room,Available now,,,,$830.00,"Allston
                                             ·",https://static.cirtru.com/cirtru/images/listings/fa0cbf3f1aab6a039ac132fc68a5981c-icon.jpg|https://static.cirtru.com/cirtru/images/listings/fa0cbf3f1aab6a039ac132fc68a5981c-thumb.jpg,
,2 Rooms,Available now,,,,$600.00,,https://static.cirtru.com/cirtru/images/listings/f444aa307cdeada8b5ed8a3cc47383f9-icon.jpg|https://static.cirtru.com/cirtru/images/listings/f444aa307cdeada8b5ed8a3cc47383f9-thumb.jpg,
10 Bynner Street,1 Room,Available now,,,,$983.00,"Hyde Square
                                             ·",https://static.cirtru.com/cirtru/images/listings/a852dbc48a7cf41c154652ee89b10218-icon.jpg|https://static.cirtru.com/cirtru/images/listings/a852dbc48a7cf41c154652ee89b10218-thumb.jpg,
1167 Boylston Street,1 Room,Available now,,,,$482.00,"Fenway
                                             ·",,
37 Wiltshire Road,1 Room,Available now,,,,"$1,000.00","Brighton
                                             ·",https://static.cirtru.com/cirtru/images/listings/1c57cede130232a9898126b65a67521f-icon.jpg|,
6 Delaware Place,1 Room,Available now,,,,$950.00,"Oak Square
                                             ·",,
200 Wakefield Avenue,1 Room,Available now,,,,"$1,300.00","Fairmount Hill
                                             ·",|,
329a Centre Street,1 Room,Available now,,,,"$1,010.00","Hyde Square
                                             ·",|,
273 Lamartine Street,3 Rooms,Available now,,,,$900.00,"Jamaica Plain
                                             ·",|,
59 Shannon Street,1 Room,Available now,,,,$850.00,"Brighton
                                             ·",|,
2 Colliston Road,1 Room,Available now,,,,$750.00,"Brighton
                                             ·",,
381a Centre Street,1 Room,Available now,,,,$725.00,"Hyde Square
                                             ·",|,
5083 Washington Street,1 Room,Available now,,,,$950.00,"West Roxbury
                                             ·",|,
52 Fenway,1 Room,Available now,,,,$900.00,"Fenway
                                             ·",|,
5 Bigelow Street,2 Rooms,Available now,,,,$800.00,"Oak Square
                                             ·",|,
133-137 Richmond Street,1 Room,Available now,,,,"$1,385.00","North End
                                             ·",|,
149 Park Drive,1 Room,Available now,,,,"$1,200.00","Fenway
                                             ·",|,
68 Gove Street,1 Room,Available now,,,,"$1,500.00","East Boston
                                             ·",|,
71 Colborne Road,1 Room,Available now,,,,"$1,300.00","Brighton
                                             ·",,
24 Bayard Street,1 Room,Available now,,,,$785.00,"Lower Allston
                                             ·",|,
,1 Room,Available now,,,,"$1,500.00",,|,
37 Egremont Road,1 Room,Available now,,,,$775.00,"Brighton
                                             ·",|,
208 Kelton Street,1 Room,Available now,,,,$734.00,"Allston
                                             ·",|,
99 Chestnut Hill Avenue,1 Room,Available now,,,,"$1,320.00","Brighton
                                             ·",|,
,1 Room,Available now,,,,"$1,150.00",,https://static.cirtru.com/cirtru/images/listings/f2090238d08ef3f9f4d11ecdbaa959b3-icon.jpg|https://static.cirtru.com/cirtru/images/listings/f2090238d08ef3f9f4d11ecdbaa959b3-thumb.jpg,
23 Amherst Street,1 Room,Available now,,,,$800.00,"Roslindale
                                             ·",https://static.cirtru.com/cirtru/images/listings/4589d9906ff402759bc3ca0cffd0b943-icon.jpg|https://static.cirtru.com/cirtru/images/listings/4589d9906ff402759bc3ca0cffd0b943-thumb.jpg,
25 Bennett Street,2 Rooms,Available now,,,,$825.00,"Oak Square
                                             ·",https://static.cirtru.com/cirtru/images/listings/6e4f2eb50e97ddc603ce81cf9a76bb09-icon.jpg|https://static.cirtru.com/cirtru/images/listings/6e4f2eb50e97ddc603ce81cf9a76bb09-thumb.jpg,
1738 Washington Street,1 Room,Available now,,,,"$1,375.00","Chester Square
                                             ·",https://static.cirtru.com/cirtru/images/listings/85979db5f791b4ef05315a8f5128a04d-icon.jpg|https://static.cirtru.com/cirtru/images/listings/85979db5f791b4ef05315a8f5128a04d-thumb.jpg,
28 Montgomery Street,1 Room,Available now,,,,"$1,500.00","Ellis
                                             ·",https://static.cirtru.com/cirtru/images/listings/30b36bc985fca4dc36fc9d804a614c14-icon.jpg|,
36 Iona Street,1 Room,Available now,,,,$730.00,"Roslindale
                                             ·",https://static.cirtru.com/cirtru/images/listings/eaab2a6de2a89b5cd4782089cbb5a92d-icon.jpg|,
1269b Commonwealth Avenue,1 Room,Available now,,,,"$1,000.00","Allston
                                             ·",|,
15 Park Vale Avenue,1 Room,Available now,,,,$925.00,"Allston
                                             ·",|,
34 Iona Street,1 Room,Available now,,,,$730.00,"Roslindale
                                             ·",|,
23 Wyman Street,1 Room,Available now,,,,"$1,050.00","Hyde Square
                                             ·",|,
4 Columbus Avenue,1 Room,Available now,,,,"$1,100.00","Boston Common
                                             ·",|,
75 Glen Road,1 Room,Available now,,,,$925.00,"Egleston Square
                                             ·",|,
509 Beacon Street,1 Room,Available now,,,,"$1,735.00","Back Bay
                                             ·",|,
22 Brookside Avenue,1 Room,Available now,,,,$650.00,"Egleston Square
                                             ·",|,
70 Hano Street,1 Room,Available now,,,,"$1,200.00","Allston
                                             ·",|,
,1 Room,Available now,,,,$680.00,,|,
884 Huntington Avenue,1 Room,Available now,,,,$700.00,"Back of the Hill
                                             ·",|,
115 Northampton Street,1 Room,Available now,,,,$875.00,"Chester Square
                                             ·",|,
1179 Boylston Street,2 Rooms,Available now,,,,$975.00,"Fenway
                                             ·",|,
172 Lake Street,1 Room,Available now,,,,$900.00,"Brighton
                                             ·",|,
1799 Centre Street,1 Room,Available now,,,,$875.00,"West Roxbury
                                             ·",|,
1152a Commonwealth Avenue,1 Room,Available now,,,,$900.00,"Packard's Corner
                                             ·",|,
45 East Newton Street,1 Room,Available now,,,,"$1,190.00","Boston University Medical Area
                                             ·",|,
95 Park Drive,1 Room,Available now,,,,"$1,350.00","Fenway
                                             ·",|,
40 Imrie Road,1 Room,Available now,,,,$950.00,"Allston
                                             ·",https://static.cirtru.com/cirtru/images/listings/395cb8612003138fcaafdd18862df67a-icon.jpg|https://static.cirtru.com/cirtru/images/listings/395cb8612003138fcaafdd18862df67a-thumb.jpg,
132 Brooks Street,2 Rooms,Available now,,,,$675.00,"East Boston
                                             ·",https://static.cirtru.com/cirtru/images/listings/1e7f8a3736cce3ae2560a40f6de3fd8f-icon.jpg|https://static.cirtru.com/cirtru/images/listings/1e7f8a3736cce3ae2560a40f6de3fd8f-thumb.jpg,
315 Brandywyne Drive,1 Room,Available now,,,,$920.00,"East Boston
                                             ·",https://static.cirtru.com/cirtru/images/listings/a2238441e95bbb4485c7da8cd637fc63-icon.jpg|https://static.cirtru.com/cirtru/images/listings/a2238441e95bbb4485c7da8cd637fc63-thumb.jpg,
829-833 Beacon Street,1 Room,Available now,,,,"$1,180.00","Fenway
                                             ·",https://static.cirtru.com/cirtru/images/listings/b1a702ace395bec85b0822462af916da-icon.jpg|https://static.cirtru.com/cirtru/images/listings/b1a702ace395bec85b0822462af916da-thumb.jpg,
294 South Street,2 Rooms,Available now,,,,"$1,000.00","Forest Hills
                                             ·",https://static.cirtru.com/cirtru/images/listings/3da37f216ac1083491148e0ea126b379-icon.jpg|,
226 Bunker Hill Street,1 Room,Available now,,,,"$1,350.00","Bunker Hill
                                             ·",https://static.cirtru.com/cirtru/images/listings/694350d2edf68cf02414346cabcddb5f-icon.jpg|,
174 Everett Street,2 Rooms,Available now,,,,$900.00,"Jeffries Point
                                             ·",,
,1 Room,Available now,,,,"$2,000.00",,,
277 Forest Hills Street,2 Rooms,Available now,,,,$900.00,"Jamaica Plain
                                             ·",|,
19 Mount Hood Road,2 Rooms,Available now,,,,$650.00,"Brighton
                                             ·",|,
27 Lothrop Street,1 Room,Available now,,,,$875.00,"Brighton
                                             ·",|,
